respid,cluster,locality,gmina,woj,gender,age,status,status_detail
30,3,3,202011,1,0,47,1,1
33,3,3,202011,1,0,47,1,1
27,3,3,202011,1,0,47,0,3
28,3,3,202011,1,0,47,0,3
29,3,3,202011,1,0,47,0,3
31,3,3,202011,1,0,47,0,2
32,3,3,202011,1,0,47,0,2
34,3,3,202011,1,0,47,0,2
35,3,3,202011,1,0,47,0,3
36,3,3,202011,1,0,47,0,2
37,3,3,202011,1,0,47,0,2
38,3,3,202011,1,0,47,0,3
39,3,3,202011,1,0,47,0,3
5,1,3,201011,1,0,71,1,1
9,1,3,201011,1,1,68,1,1
12,1,3,201011,1,1,68,1,1
13,1,3,201011,1,1,68,1,1
20,2,3,201011,1,1,68,1,1
1,1,3,201011,1,0,71,0,2
2,1,3,201011,1,0,71,0,2
3,1,3,201011,1,1,68,0,2
4,1,3,201011,1,0,71,0,2
6,1,3,201011,1,0,71,0,2
7,1,3,201011,1,0,71,0,3
8,1,3,201011,1,0,71,0,2
10,1,3,201011,1,1,68,0,2
11,1,3,201011,1,1,68,0,2
391,31,1,213022,1,0,64,1,1
394,31,1,213022,1,0,64,1,1
395,31,1,213022,1,0,64,1,1
396,31,1,213022,1,0,64,1,1
397,31,1,213022,1,0,64,1,1
402,31,1,213022,1,0,64,1,1
392,31,1,213022,1,0,64,0,3
393,31,1,213022,1,0,64,0,2
398,31,1,213022,1,0,64,0,2
399,31,1,213022,1,0,64,0,3
400,31,1,213022,1,0,64,0,2
401,31,1,213022,1,0,64,0,2
403,31,1,213022,1,0,64,0,2
40,4,3,202021,1,0,64,1,1
46,4,3,202021,1,0,64,1,1
41,4,3,202021,1,0,64,0,2
42,4,3,202021,1,0,64,0,3
43,4,3,202021,1,0,64,0,2
44,4,3,202021,1,0,64,0,2
45,4,3,202021,1,0,64,0,3
47,4,3,202021,1,0,64,0,3
48,4,3,202021,1,0,64,0,3
49,4,3,202021,1,0,64,0,3
50,4,3,202021,1,0,64,0,2
51,4,3,202021,1,0,64,0,2
52,4,3,202021,1,0,64,0,3
107,9,3,203011,1,1,70,1,1
108,9,3,203011,1,1,70,1,1
111,9,3,203011,1,1,70,1,1
112,9,3,203011,1,1,70,1,1
114,9,3,203011,1,1,70,1,1
115,9,3,203011,1,1,70,1,1
120,10,3,203011,1,1,70,1,1
121,10,3,203011,1,1,70,1,1
122,10,3,203011,1,1,70,1,1
125,10,3,203011,1,1,70,1,1
132,11,3,203011,1,1,70,1,1
133,11,3,203011,1,1,70,1,1
134,11,3,203011,1,1,70,1,1
139,11,3,203011,1,1,70,1,1
140,11,3,203011,1,1,70,1,1
142,11,3,203011,1,1,70,1,1
105,9,3,203011,1,1,70,0,2
106,9,3,203011,1,1,70,0,3
109,9,3,203011,1,1,70,0,2
110,9,3,203011,1,1,70,0,2
113,9,3,203011,1,1,70,0,3
116,9,3,203011,1,1,70,0,2
117,9,3,203011,1,1,70,0,2
118,10,3,203011,1,1,70,0,3
119,10,3,203011,1,1,70,0,2
123,10,3,203011,1,1,70,0,3
124,10,3,203011,1,1,70,0,3
126,10,3,203011,1,1,70,0,3
127,10,3,203011,1,1,70,0,3
128,10,3,203011,1,1,70,0,2
129,10,3,203011,1,1,70,0,2
130,10,3,203011,1,1,70,0,2
131,11,3,203011,1,1,70,0,2
135,11,3,203011,1,1,70,0,3
136,11,3,203011,1,1,70,0,2
137,11,3,203011,1,1,70,0,2
138,11,3,203011,1,1,70,0,2
141,11,3,203011,1,1,70,0,2
143,11,3,203011,1,1,70,0,2
535,42,2,221054,1,0,64,1,1
539,42,2,221054,1,0,64,1,1
545,42,2,221054,1,0,64,1,1
534,42,2,221054,1,0,64,0,3
536,42,2,221054,1,0,64,0,2
537,42,2,221054,1,0,64,0,3
538,42,2,221054,1,0,64,0,2
540,42,2,221054,1,0,64,0,2
541,42,2,221054,1,0,64,0,3
542,42,2,221054,1,0,64,0,3
543,42,2,221054,1,0,64,0,3
544,42,2,221054,1,0,64,0,3
546,42,2,221054,1,0,64,0,3
157,13,2,204014,1,0,38,1,1
161,13,2,204014,1,0,38,1,1
162,13,2,204014,1,0,38,1,1
163,13,2,204014,1,0,38,1,1
168,13,2,204014,1,0,38,1,1
158,13,2,204014,1,0,38,0,2
159,13,2,204014,1,0,38,0,3
160,13,2,204014,1,0,38,0,3
164,13,2,204014,1,0,38,0,2
165,13,2,204014,1,0,38,0,2
166,13,2,204014,1,0,38,0,3
167,13,2,204014,1,0,38,0,3
169,13,2,204014,1,0,38,0,3
16,2,1,201032,1,1,68,1,1
18,2,1,201032,1,1,68,1,1
23,2,1,201032,1,1,68,1,1
24,2,1,201032,1,1,68,1,1
14,2,1,201032,1,1,68,0,3
15,2,1,201032,1,1,68,0,2
17,2,1,201032,1,1,68,0,2
19,2,1,201032,1,1,68,0,2
21,2,1,201032,1,1,68,0,2
22,2,1,201032,1,1,68,0,2
25,2,1,201032,1,1,68,0,2
26,2,1,201032,1,1,68,0,2
150,12,1,203032,1,0,64,1,1
151,12,1,203032,1,0,64,1,1
144,12,1,203032,1,0,64,0,2
145,12,1,203032,1,0,64,0,2
146,12,1,203032,1,0,64,0,3
147,12,1,203032,1,0,64,0,2
148,12,1,203032,1,0,64,0,3
149,12,1,203032,1,0,64,0,2
152,12,1,203032,1,0,64,0,2
153,12,1,203032,1,0,64,0,2
154,12,1,203032,1,0,64,0,2
155,12,1,203032,1,0,64,0,2
156,12,1,203032,1,0,64,0,2
432,34,2,215034,1,1,63,1,1
441,34,2,215034,1,1,63,1,1
430,34,2,215034,1,1,63,0,3
431,34,2,215034,1,1,63,0,2
433,34,2,215034,1,1,63,0,2
434,34,2,215034,1,1,63,0,2
435,34,2,215034,1,1,63,0,3
436,34,2,215034,1,1,63,0,2
437,34,2,215034,1,1,63,0,3
438,34,2,215034,1,1,63,0,3
439,34,2,215034,1,1,63,0,3
440,34,2,215034,1,1,63,0,3
442,34,2,215034,1,1,63,0,2
653,51,3,261011,1,1,70,1,1
657,51,3,261011,1,1,70,1,1
661,51,3,261011,1,1,70,1,1
666,52,3,261011,1,1,70,1,1
668,52,3,261011,1,1,70,1,1
669,52,3,261011,1,1,70,1,1
672,52,3,261011,1,1,70,1,1
651,51,3,261011,1,1,70,0,3
652,51,3,261011,1,1,70,0,3
654,51,3,261011,1,1,70,0,2
655,51,3,261011,1,1,70,0,2
656,51,3,261011,1,1,70,0,2
