id,hour_of_a_day,category,keyword,search_steps,filters_count,results,ad_views
0f47ec3cf534e70da6327e4be5c64958,4,motoryzacja,,24,1,286,0
78f02ab550dcfaae617368b06fd9c02a,11,dom-ogrod,,97,1,706,3
52d851cd3901db774e732031a8129682,22,dla-dzieci,abrakadabra,213,0,533,6
7c2d08690b3eb2c783275f5136dacb2c,20,motoryzacja,kia venga,1,0,0,0
2cafe2d7a172cd74ea516d58fd9b83cf,21,dom-ogrod,biała podlaska,15,0,151,0
7c6b205473598ccb42b5cc8dd13bdfb7,14,nieruchomosci,mieszkania w krotoszyn,89,0,26,1
a7ea3a331ea66db4e5ab6880c50358fa,19,motoryzacja,Scenic,33,3,143,0
14a1df83125e876af8990e3d0e49f408,15,sport-hobby,Rower,2,0,2654,0
8257020a474399bae9dd3e9e4b6938ad,13,motoryzacja,seat leon,2,0,722,0
0116187ce2b50cef3f7203845a1c5c4c,19,nieruchomosci,,1,0,0,0
5896b12d9986ebc2ce720efa957f14dc,5,dom-ogrod,brama dwuskrzydłowa do wypełnienia,8,0,1,1
deafa507f97ef6b979e09e4a4bd35d6b,8,motoryzacja,zr7,18,0,71,0
cb7d3bcba2a7cfc74de427c19c6dcf9f,10,zwierzeta,króliki,62,0,697,0
fc22936f747e4ed3132089d22615a0ba,10,rolnictwo,claas dominator,207,0,298,7
179a58ab91c388f788e3d368f162fcbb,8,motoryzacja,125cm,1,1,415,0
2492d312239dbbf50bdd9ec99ab7c3c9,5,dom-ogrod,łóżko rehabilitacyjne,1,0,82,0
e8e504b276aa2fed5a82c591dc395442,15,dom-ogrod,pierścień,3,0,33,0
0d6f9f16421d8ea58c079a2c3f1607c1,7,motoryzacja,,6,2,2,0
c12341d0ba1d7ef6aded43b107d502e1,7,uslugi-firmy,anteny satelitarne,4,0,0,0
69b706533d78a2e132ee57063efcb204,15,motoryzacja,master,14,0,15,3
e1146f6660755a9c99d20f30dca80410,14,nieruchomosci,tymienieckiego,2,0,7,0
4ccc27f79a612569548e112098a0f2d0,21,nieruchomosci,,37,0,22,5
d1b8c4d98c068da12d4b78045f1d5d91,12,dla-dzieci,,42,0,400,4
64a4fd17e2ab63fa480348e6cfd4754b,18,rolnictwo,,16,1,1074,0
4766ea5b6140c316be131cead5b2da78,12,sport-hobby,continental x king,2,0,92,0
9b7454c4e017e216206ee4d383d08349,21,zwierzeta,kame,3,0,1,0
64a7ae435fd5b42e47d22de309f8f4ac,8,motoryzacja,,17,0,2,1
